Product ASIN,Clicks,Indirect Items Ordered,Direct Items Ordered,Items Ordered,Product Conversion Rate,Ordered Revenue,Direct Conversion Rate,Commission Rate,Items Shipped,Items Returned,Items Shipped Revenue,Items Shipped Earnings,Items Returned Revenue,Items Returned Earnings,Total Earnings,Time Period
B0CP1YNJ8X,"15,633","1,703","1,411","3,114",19.92%,"$48,252.62",9.03%,3.09%,"3,099",100,"$48,023.73","$1,484.50","$2,037.79",$72.81,"$1,411.69",2025
B0DQM4LNYV,"15,435","1,474",70,"1,544",10.00%,"$31,370.61",0.45%,3.21%,"1,521",66,"$30,959.93",$994.05,"$2,064.55",$69.98,$924.07,2025
B0FNGCNMJ7,"6,195",963,166,"1,129",18.22%,"$25,611.39",2.68%,3.62%,"1,123",35,"$25,498.40",$922.84,$789.71,$29.11,$893.73,2025
B0DQ4LPM9Y,"13,036","1,291",54,"1,345",10.32%,"$29,871.36",0.41%,3.15%,"1,344",79,"$29,860.38",$941.64,"$1,940.19",$65.83,$875.81,2025
B0C9V811L6,"11,511","1,248",11,"1,259",10.94%,"$29,407.33",0.10%,3.32%,"1,249",63,"$28,271.87",$938.56,"$2,068.64",$75.02,$863.54,2025
B0DPQV18TH,"5,449","1,069",31,"1,100",20.19%,"$24,184.61",0.57%,3.24%,"1,102",21,"$24,220.35",$784.62,$484.35,$17.18,$767.44,2025
B0F48DPF9R,"10,008","1,119",221,"1,340",13.39%,"$23,039.73",2.21%,3.34%,"1,340",90,"$23,043.22",$769.20,"$2,219.41",$88.02,$681.18,2025
B0DQX8YQYK,"10,436","1,110",210,"1,320",12.65%,"$19,883.97",2.01%,3.21%,"1,315",36,"$19,803.80",$636.59,$672.07,$23.06,$613.53,2025
B0DBJDDBNZ,"4,677",-,-,881,18.84%,"$16,859.50",-,3.65%,878,23,"$16,782.76",$612.59,$495.65,$20.23,$592.36,2025
B0FJDKVVQ1,"9,445",-,-,928,9.83%,"$19,728.73",-,3.15%,907,68,"$19,102.25",$601.66,"$2,023.39",$70.31,$531.35,2025
B0F1WYX8J6,"4,650",-,-,794,17.08%,"$15,745.86",-,3.42%,792,24,"$15,612.90",$533.24,$616.76,$23.00,$510.24,2025
B0DMBXVFDK,"6,499",-,-,778,11.97%,"$16,467.50",-,3.23%,777,34,"$16,448.56",$530.88,$823.23,$33.72,$497.16,2025
B08KTVXNFX,"4,338",-,-,744,17.15%,"$14,349.03",-,3.49%,746,31,"$14,355.48",$501.35,$691.10,$27.49,$473.86,2025
B01M69CRE2,"5,885",-,-,757,12.86%,"$15,137.35",-,3.24%,756,28,"$15,130.11",$490.40,$698.64,$25.62,$464.78,2025
B0FK124QCT,"3,239",-,-,495,15.28%,"$12,705.09",-,3.54%,491,5,"$12,632.13",$447.45,$130.11,$6.79,$440.66,2025
B0BLJSNSK8,"9,187",-,-,874,9.51%,"$16,916.40",-,3.03%,746,5,"$14,370.72",$435.81,$142.92,$4.48,$431.33,2025
B01GTX8KQ2,"5,752",-,-,603,10.48%,"$14,627.66",-,3.13%,609,43,"$14,782.54",$462.67,"$1,138.17",$37.41,$425.26,2025
B0FZWJ9857,"7,329",-,-,756,10.32%,"$14,758.24",-,3.04%,755,53,"$14,730.61",$448.24,"$1,424.54",$54.04,$394.20,2025
B0FMFBRTWT,"6,002",-,-,631,10.51%,"$14,854.24",-,2.79%,597,46,"$13,979.75",$390.40,$254.20,$6.37,$384.03,2025
B0F2GPDFZZ,"5,220",-,-,645,12.36%,"$12,938.51",-,3.14%,624,8,"$12,423.26",$389.94,$208.52,$7.06,$382.88,2025
B0D7Q23WYH,"5,607",-,-,537,9.58%,"$12,366.55",-,3.32%,537,40,"$12,366.55",$410.00,$934.69,$32.00,$378.00,2025
B0CV5N8NL4,"7,215",-,-,546,7.57%,"$12,329.74",-,3.30%,545,26,"$12,299.75",$405.94,"$1,076.52",$35.50,$370.44,2025
B0BQ1TFYH5,"6,712",-,-,"1,016",15.14%,"$12,341.21",-,3.17%,999,15,"$11,959.92",$379.47,$314.05,$10.27,$369.20,2025
B08V1R73H9,"4,258",-,-,491,11.53%,"$11,613.29",-,3.25%,490,16,"$11,563.90",$376.01,$307.77,$11.26,$364.75,2025
B0DGJC52FP,"6,396",-,-,563,8.80%,"$12,195.72",-,3.17%,563,42,"$12,195.72",$386.18,$762.95,$25.91,$360.27,2025
B0CP4BSFB9,"6,260",-,-,631,10.08%,"$12,086.97",-,3.19%,635,28,"$12,110.21",$386.52,$774.48,$27.32,$359.20,2025
B08DQD37CY,"5,156",-,-,411,7.97%,"$11,624.51",-,3.23%,409,19,"$11,571.16",$374.01,$413.13,$15.20,$358.81,2025
073644243X,"4,213",-,-,502,11.92%,"$11,657.74",-,3.21%,502,18,"$11,657.74",$374.37,$456.82,$15.90,$358.47,2025
B0FHMDL9HW,"6,719",-,-,733,10.91%,"$15,118.10",-,2.60%,716,34,"$14,693.63",$381.55,$837.88,$30.17,$351.38,2025
B0CLRNS4DD,"3,137",-,-,516,16.45%,"$10,796.86",-,3.16%,514,32,"$10,713.35",$338.28,$740.04,$26.42,$311.86,2025
B097C2YG2M,"3,202",-,-,415,12.96%,"$10,243.95",-,3.18%,415,13,"$10,243.95",$326.13,$507.12,$18.25,$307.88,2025
B08MFRWH8X,917,-,-,487,53.11%,"$10,248.42",-,3.11%,487,21,"$10,248.42",$318.46,$629.98,$22.46,$296.00,2025
B0F488M21K,"5,023",-,-,529,10.53%,"$10,385.88",-,3.07%,529,34,"$10,385.88",$319.08,$859.89,$30.20,$288.88,2025
B0DWG25PNY,"3,224",-,-,558,17.31%,"$9,517.81",-,3.26%,552,20,"$9,378.22",$305.76,$614.25,$19.48,$286.28,2025
B0G1D75TYS,"5,648",-,-,695,12.31%,"$10,649.64",-,2.78%,688,12,"$10,556.68",$293.23,$250.86,$9.89,$283.34,2025
B0FDT1WVVK,"3,736",-,-,333,8.91%,"$9,173.98",-,3.30%,333,17,"$9,173.98",$302.52,$588.79,$19.91,$282.61,2025
